area_type,availability,location,bath,balcony,price,total_sqft_int,bhk,price_per_sqft
Super built-up  Area,Ready To Move,Jakkur,2.0,3.0,80.0,770.0,2.0,10389.61038961039
Super built-up  Area,20-Dec,Jakkur,2.0,1.0,72.0,1260.0,2.0,5714.285714285715
Super built-up  Area,19-Sep,Jakkur,3.0,1.0,84.52,1702.0,2.0,4965.922444183314
Super built-up  Area,18-Dec,Jakkur,3.0,2.0,104.0,1175.0,3.0,8851.063829787234
Super built-up  Area,Ready To Move,Jakkur,2.0,1.0,75.0,1065.0,2.0,7042.2535211267605
Super built-up  Area,Ready To Move,Jakkur,2.0,1.0,85.0,1125.0,3.0,7555.555555555556
Super built-up  Area,20-Dec,Jakkur,3.0,2.0,72.0,1050.0,2.0,6857.142857142857
Super built-up  Area,Ready To Move,Jakkur,3.0,3.0,310.0,1857.0,3.0,16693.591814754982
Super built-up  Area,20-Jun,Jakkur,3.0,2.0,131.0,760.0,2.0,17236.842105263157
Super built-up  Area,Ready To Move,Jakkur,2.0,1.0,85.0,1100.0,2.0,7727.272727272727
Super built-up  Area,Ready To Move,Jakkur,3.0,2.0,65.0,1065.0,2.0,6103.286384976525
Super built-up  Area,Ready To Move,Jakkur Plantation,3.0,3.0,120.0,1230.0,3.0,9756.09756097561
Super built-up  Area,Ready To Move,Jakkur Plantation,3.0,2.0,110.0,1730.0,3.0,6358.381502890174
Super built-up  Area,Ready To Move,Jakkur Plantation,2.0,3.0,87.0,1310.0,2.0,6641.221374045802
Super built-up  Area,Ready To Move,Jakkur Plantation,3.0,3.0,95.0,1565.0,3.0,6070.287539936102
Super built-up  Area,Ready To Move,Jakkuru Layout,2.0,2.0,55.7,1277.5,2.0,4360.078277886497
Super built-up  Area,Ready To Move,Jakkuru Layout,2.0,1.0,54.0,1350.0,2.0,4000.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2.0,1.0,54.0,1500.0,4.0,3600.0
Super built-up  Area,18-May,Jalahalli,3.0,0.0,77.0,1160.0,2.0,6637.931034482759
Super built-up  Area,Ready To Move,Jalahalli,2.0,2.0,150.0,1618.0,4.0,9270.70457354759
Super built-up  Area,Ready To Move,Jalahalli,2.0,2.0,125.0,1500.0,2.0,8333.333333333334
Super built-up  Area,Ready To Move,Jalahalli,3.0,2.0,155.0,1853.0,4.0,8364.81381543443
Super built-up  Area,Ready To Move,Jalahalli,3.0,2.0,140.0,5800.0,2.0,2413.793103448276
Plot  Area,Ready To Move,Jalahalli,3.0,2.0,60.0,1200.0,2.0,5000.0
Super built-up  Area,18-Dec,Jalahalli,2.0,1.0,58.0,1500.0,2.0,3866.6666666666665
Plot  Area,Ready To Move,Jalahalli,4.0,0.0,90.0,1255.0,3.0,7171.314741035857
Built-up  Area,Ready To Move,Jalahalli,3.0,3.0,82.0,1200.0,3.0,6833.333333333333
Built-up  Area,Ready To Move,Jalahalli,3.0,3.0,100.0,2275.0,4.0,4395.604395604396
Super built-up  Area,Ready To Move,Jalahalli,2.0,2.0,60.0,1850.0,2.0,3243.2432432432433
Plot  Area,Ready To Move,Jalahalli,1.0,0.0,37.0,972.0,1.0,3806.5843621399176
Super built-up  Area,Ready To Move,Jalahalli,2.0,2.0,55.0,1350.0,2.0,4074.074074074074
Super built-up  Area,Ready To Move,Jalahalli,1.0,1.0,46.0,1035.0,2.0,4444.444444444444
Super built-up  Area,Ready To Move,Jalahalli,3.0,2.0,94.36,1710.0,4.0,5518.12865497076
Super built-up  Area,Ready To Move,Jalahalli,2.0,3.0,102.0,1401.0,3.0,7280.51391862955
Built-up  Area,Ready To Move,Jalahalli,2.0,1.0,98.49,1919.0,2.0,5132.360604481501
Super built-up  Area,Ready To Move,Jalahalli,2.0,3.0,89.0,1750.0,3.0,5085.714285714285
Super built-up  Area,Ready To Move,Jalahalli East,1.0,2.0,40.0,2378.0,3.0,1682.085786375105
Super built-up  Area,Ready To Move,Jalahalli East,2.0,1.0,60.0,1240.0,3.0,4838.709677419355
Super built-up  Area,Ready To Move,Jalahalli East,2.0,1.0,58.0,1450.0,2.0,4000.0
Super built-up  Area,Ready To Move,Jalahalli East,2.0,1.0,42.48,1535.0,2.0,2767.42671009772
Super built-up  Area,Ready To Move,Jalahalli East,2.0,1.0,52.0,1571.0,3.0,3309.993634627626
Super built-up  Area,Ready To Move,Jalahalli East,2.0,1.0,52.0,2176.0,4.0,2389.705882352941
Super built-up  Area,Ready To Move,Jalahalli East,2.0,1.0,42.48,1100.0,3.0,3861.818181818182
Built-up  Area,Ready To Move,Jalahalli West,2.0,2.0,55.68,1800.0,3.0,3093.3333333333335
Super built-up  Area,20-Dec,Jalahalli West,2.0,1.0,62.0,2750.0,2.0,2254.5454545454545
Super built-up  Area,Ready To Move,Jalahalli West,2.0,0.0,50.0,1075.0,2.0,4651.162790697675
Super built-up  Area,Ready To Move,Jalahalli West,1.0,1.0,23.0,865.0,2.0,2658.9595375722542
Super built-up  Area,Ready To Move,Janatha Colony,2.0,2.0,57.6,1200.0,3.0,4800.0
Built-up  Area,Ready To Move,Jayamahal,3.0,1.0,220.0,1716.0,3.0,12820.51282051282
Built-up  Area,Ready To Move,Jayamahal,2.0,1.0,70.0,4694.0,2.0,1491.2654452492543
Built-up  Area,Ready To Move,Jayanagar,2.0,3.0,235.0,1549.0,2.0,15171.078114912847
Built-up  Area,Ready To Move,Jayanagar,2.0,2.0,110.0,1270.0,3.0,8661.417322834646
Super built-up  Area,Ready To Move,Jayanagar,2.0,2.0,110.0,1508.0,2.0,7294.429708222811
Super built-up  Area,Ready To Move,Jayanagar,2.0,1.0,182.0,1205.0,3.0,15103.734439834025
Super built-up  Area,18-May,Jayanagar,3.0,2.0,300.0,2450.0,2.0,12244.897959183674
Plot  Area,Ready To Move,Jayanti Nagar,3.0,1.0,70.0,1100.0,3.0,6363.636363636364
Super built-up  Area,Ready To Move,Jeevan bima nagar,3.0,3.0,120.0,1030.0,2.0,11650.485436893205
Built-up  Area,Ready To Move,Jeevan bima nagar,2.0,2.0,125.0,1200.0,2.0,10416.666666666666
Super built-up  Area,Ready To Move,Jigani,2.0,1.0,40.0,1600.0,1.0,2500.0
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,52.0,1500.0,2.0,3466.6666666666665
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,65.0,1558.67,3.0,4170.222048284755
Built-up  Area,Ready To Move,Jigani,2.0,2.0,47.0,1690.0,2.0,2781.0650887573966
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,55.0,1205.0,2.0,4564.3153526970955
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,63.2,1313.0,3.0,4813.4044173648135
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,43.0,1199.0,2.0,3586.321934945788
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,55.0,3600.0,2.0,1527.7777777777778
Super built-up  Area,Ready To Move,Jigani,3.0,3.0,61.0,1150.0,3.0,5304.347826086957
Built-up  Area,Ready To Move,Jigani,3.0,2.0,58.0,1856.0,2.0,3125.0
Built-up  Area,Ready To Move,Jigani,2.0,1.0,49.0,1200.0,2.0,4083.3333333333335
Super built-up  Area,Ready To Move,Jigani,3.0,3.0,52.0,1200.0,2.0,4333.333333333333
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,49.0,1027.0,2.0,4771.1781888997075
Super built-up  Area,Ready To Move,Jigani,3.0,1.0,65.0,1200.0,2.0,5416.666666666667
Super built-up  Area,Ready To Move,Jigani,3.0,3.0,60.0,845.0,2.0,7100.591715976331
Super built-up  Area,Ready To Move,Jigani,3.0,2.0,65.0,1295.0,2.0,5019.305019305019
Super built-up  Area,Ready To Move,Jigani,3.0,3.0,75.0,1810.0,5.0,4143.646408839779
Super built-up  Area,Ready To Move,Jigani,3.0,2.0,65.0,950.0,2.0,6842.105263157895
Built-up  Area,Ready To Move,Jigani,3.0,2.0,59.0,1950.0,2.0,3025.641025641026
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,39.0,1246.0,2.0,3130.016051364366
Built-up  Area,Ready To Move,Jigani,2.0,2.0,48.0,2170.0,2.0,2211.9815668202764
Super built-up  Area,Ready To Move,Jigani,3.0,3.0,65.0,1686.0,2.0,3855.2787663107947
Super built-up  Area,Ready To Move,Jigani,2.0,2.0,49.5,1600.0,2.0,3093.75
Plot  Area,18-Feb,Jinkethimmanahalli,2.0,1.0,68.0,1075.0,3.0,6325.581395348837
Plot  Area,Ready To Move,Jnanabharathi Layout,3.0,2.0,75.0,1260.0,3.0,5952.380952380952
Super built-up  Area,20-Dec,Judicial Layout,3.0,1.0,64.0,1105.0,2.0,5791.85520361991
Super built-up  Area,Ready To Move,Judicial Layout,3.0,3.0,162.0,1800.0,5.0,9000.0
Plot  Area,Ready To Move,Judicial Layout,4.0,1.0,220.0,1270.0,3.0,17322.834645669293
Plot  Area,Ready To Move,Judicial Layout,3.0,2.0,162.0,967.0,2.0,16752.843846949327
Built-up  Area,Ready To Move,Judicial Layout,4.0,3.0,199.0,1334.0,3.0,14917.541229385308
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",2.0,1.0,41.0,1238.0,3.0,3311.793214862682
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",3.0,2.0,53.0,1200.0,2.0,4416.666666666667
Super built-up  Area,Ready To Move,KEB Colony,3.0,1.0,90.0,2250.0,3.0,4000.0
Built-up  Area,Ready To Move,KR Garden,2.0,2.0,63.0,1480.0,2.0,4256.756756756757
Built-up  Area,Ready To Move,KR Garden,2.0,2.0,60.0,1475.0,3.0,4067.7966101694915
Plot  Area,Ready To Move,KR Garden,2.0,3.0,135.0,1718.0,2.0,7857.974388824215
Built-up  Area,Ready To Move,KR Layout,2.0,2.0,41.0,1950.0,5.0,2102.5641025641025
Built-up  Area,Ready To Move,KR Puram,2.0,2.0,39.0,1050.0,2.0,3714.285714285714
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,42.74,1867.0,2.0,2289.234065345474
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,46.55,1740.0,2.0,2675.287356321839
Super built-up  Area,18-Jun,KR Puram,2.0,1.0,47.0,1355.0,2.0,3468.6346863468634
Super built-up  Area,18-Jan,KR Puram,3.0,2.0,46.0,764.0,2.0,6020.942408376964
Built-up  Area,Ready To Move,KR Puram,2.0,0.0,90.0,1445.0,2.0,6228.3737024221455
Built-up  Area,Ready To Move,KR Puram,2.0,1.0,25.0,1525.0,2.0,1639.344262295082
Carpet  Area,Ready To Move,KR Puram,3.0,0.0,47.405,1200.0,2.0,3950.4166666666665
Super built-up  Area,18-Jun,KR Puram,2.0,1.0,43.0,1592.0,2.0,2701.005025125628
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,86.0,1752.12,2.0,4908.339611442139
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,51.0,2526.0,2.0,2019.002375296912
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,48.0,1936.0,2.0,2479.3388429752067
Super built-up  Area,Ready To Move,KR Puram,3.0,0.0,69.315,1200.0,3.0,5776.25
Built-up  Area,Ready To Move,KR Puram,2.0,1.0,40.5,1410.0,1.0,2872.340425531915
Plot  Area,Ready To Move,KR Puram,2.0,1.0,71.0,1400.0,1.0,5071.428571428572
Super built-up  Area,18-Sep,KR Puram,2.0,0.0,51.22,1375.0,2.0,3725.090909090909
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,49.02,1621.0,2.0,3024.0592227020356
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,43.0,1300.0,2.0,3307.6923076923076
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,40.0,1900.0,5.0,2105.2631578947367
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,72.0,1418.0,2.0,5077.574047954866
Plot  Area,Ready To Move,KR Puram,2.0,0.0,60.0,1220.0,3.0,4918.0327868852455
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,57.9,1062.0,2.0,5451.977401129943
Built-up  Area,Ready To Move,KR Puram,3.0,3.0,60.0,950.0,2.0,6315.789473684211
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,30.0,1200.0,2.0,2500.0
Built-up  Area,Ready To Move,KR Puram,2.0,1.0,44.5,800.0,2.0,5562.5
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,67.0,1450.0,4.0,4620.689655172414
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,43.32,1713.0,2.0,2528.8966725043783
Super built-up  Area,18-Jun,KR Puram,2.0,1.0,61.0,1440.0,2.0,4236.111111111111
Plot  Area,Ready To Move,KR Puram,4.0,2.0,80.0,1645.0,3.0,4863.22188449848
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,72.0,1075.0,3.0,6697.674418604651
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,45.0,700.0,1.0,6428.571428571428
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,45.0,1075.0,3.0,4186.046511627907
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,57.0,2450.0,2.0,2326.530612244898
Built-up  Area,Ready To Move,KR Puram,1.0,1.0,21.5,1340.0,2.0,1604.4776119402984
Super built-up  Area,Ready To Move,KR Puram,2.0,1.0,45.79,1027.0,2.0,4458.617332035054
Built-up  Area,Ready To Move,KR Puram,2.0,1.0,39.9,1305.0,2.0,3057.4712643678163
Super built-up  Area,Ready To Move,KR Puram,2.0,2.0,39.0,1724.0,2.0,2262.1809744779584
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3.0,2.0,56.0,1130.0,3.0,4955.7522123893805
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3.0,2.0,56.0,1482.0,3.0,3778.6774628879893
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3.0,2.0,56.0,1125.0,2.0,4977.777777777777
Super built-up  Area,Ready To Move,Kachanayakanahalli,2.0,1.0,35.0,1185.0,3.0,2953.5864978902955
Super built-up  Area,Ready To Move,Kachanayakanahalli,2.0,1.0,45.0,1556.0,3.0,2892.0308483290487
Plot  Area,Ready To Move,Kacharakanahalli,1.0,0.0,56.25,1639.0,3.0,3431.9707138499084
Super built-up  Area,Ready To Move,Kacharakanahalli,2.0,1.0,60.0,3200.0,1.0,1875.0
Super built-up  Area,Ready To Move,Kacharakanahalli,3.0,3.0,69.0,2500.0,2.0,2760.0
Super built-up  Area,Ready To Move,Kacharakanahalli,2.0,1.0,60.0,1500.0,3.0,4000.0
Super built-up  Area,Ready To Move,Kada Agrahara,2.0,1.0,40.0,1200.0,1.0,3333.3333333333335
Built-up  Area,Ready To Move,Kada Agrahara,2.0,1.0,43.0,1221.0,2.0,3521.703521703522
Built-up  Area,Ready To Move,Kadabagere,2.0,1.0,15.0,1200.0,3.0,1250.0
Super built-up  Area,Ready To Move,Kadabagere,2.0,2.0,13.5,1470.0,3.0,918.3673469387755
Super built-up  Area,Ready To Move,Kadubeesanahalli,3.0,3.0,70.0,1576.0,3.0,4441.624365482234
Super built-up  Area,19-Oct,Kadubeesanahalli,2.0,1.0,35.0,1392.0,2.0,2514.367816091954
Super built-up  Area,Ready To Move,Kadubeesanahalli,2.0,2.0,75.0,1650.0,4.0,4545.454545454545
Built-up  Area,Ready To Move,Kadubeesanahalli,2.0,1.0,55.0,1450.0,3.0,3793.103448275862
Plot  Area,Ready To Move,Kadubeesanahalli,4.0,1.5843757375501535,375.0,2500.0,4.0,15000.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,2.0,3.0,55.0,1277.0,2.0,4306.969459671104
Super built-up  Area,Ready To Move,Kadubeesanahalli,2.0,1.0,78.0,1200.0,2.0,6500.0
Built-up  Area,Ready To Move,Kadugodi,2.0,1.0,34.0,945.0,2.0,3597.8835978835978
Super built-up  Area,Ready To Move,Kadugodi,3.0,3.0,91.45,1420.0,3.0,6440.140845070423
Super built-up  Area,18-Mar,Kadugodi,4.0,3.0,127.0,1381.0,3.0,9196.234612599566
Plot  Area,Ready To Move,Kadugodi,4.0,0.0,210.0,2424.0,3.0,8663.366336633664
Super built-up  Area,18-Apr,Kadugodi,3.0,1.5843757375501535,108.0,1314.0,2.0,8219.17808219178
Super built-up  Area,17-Dec,Kadugodi,2.0,2.0,78.0,1153.0,2.0,6764.960971379011
Super built-up  Area,18-Jan,Kadugodi,2.0,1.0,35.02,1265.0,1.0,2768.3794466403165
Super built-up  Area,18-Mar,Kadugodi,3.0,3.0,112.0,1175.0,3.0,9531.91489361702
Super built-up  Area,Ready To Move,Kadugodi,2.0,2.0,56.0,1060.0,3.0,5283.018867924528
Super built-up  Area,18-Mar,Kadugodi,3.0,3.0,112.0,1278.0,3.0,8763.693270735524
Super built-up  Area,Ready To Move,Kadugodi,2.0,2.0,59.0,1110.0,1.0,5315.315315315315
Built-up  Area,Ready To Move,Kadugodi,2.0,2.0,44.0,1200.0,2.0,3666.6666666666665
Super built-up  Area,18-Apr,Kadugodi,3.0,3.0,109.0,1738.0,4.0,6271.576524741082
Super built-up  Area,Ready To Move,Kadugodi,2.0,3.0,60.0,2300.0,2.0,2608.695652173913
Plot  Area,Ready To Move,Kadugondanahalli,1.0,0.0,45.0,1343.0,3.0,3350.7073715562174
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,56.0,1017.0,2.0,5506.391347099312
Super built-up  Area,Ready To Move,Kaggadasapura,3.0,1.5843757375501535,83.3,1750.0,3.0,4760.0
Built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,52.0,1056.0,3.0,4924.242424242424
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,48.0,1020.0,2.0,4705.882352941177
Super built-up  Area,Ready To Move,Kaggadasapura,3.0,1.0,55.5,1200.0,2.0,4625.0
Super built-up  Area,Ready To Move,Kaggadasapura,3.0,2.0,55.0,1220.0,2.0,4508.196721311476
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,1.0,38.65,1063.0,2.0,3635.936030103481
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,42.0,1634.0,2.0,2570.3794369645043
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,53.0,1310.0,2.0,4045.8015267175574
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,45.5,1000.0,2.0,4550.0
Super built-up  Area,Ready To Move,Kaggadasapura,1.0,0.0,50.0,1020.0,2.0,4901.9607843137255
Built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,46.0,1199.0,1.0,3836.5304420350294
Super built-up  Area,Ready To Move,Kaggadasapura,3.0,1.0,66.0,1140.0,2.0,5789.473684210527
Built-up  Area,Ready To Move,Kaggadasapura,3.0,0.0,75.0,2400.0,2.0,3125.0
Carpet  Area,Ready To Move,Kaggadasapura,2.0,3.0,43.0,1250.0,1.0,3440.0
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,75.0,1050.0,2.0,7142.857142857143
Super built-up  Area,Ready To Move,Kaggadasapura,3.0,1.5843757375501535,75.0,1143.0,2.0,6561.679790026246
Built-up  Area,Ready To Move,Kaggadasapura,2.0,3.0,45.0,1194.0,2.0,3768.8442211055276
Built-up  Area,Ready To Move,Kaggadasapura,2.0,1.0,58.58,1595.0,2.0,3672.7272727272725
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,70.0,1295.0,1.0,5405.405405405405
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,1.0,45.0,1205.0,2.0,3734.4398340248963
Super built-up  Area,Ready To Move,Kaggadasapura,3.0,2.0,60.0,1092.0,2.0,5494.505494505494
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,50.0,1125.0,2.0,4444.444444444444
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,60.0,1325.0,2.0,4528.301886792453
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,1.0,39.5,1200.0,2.0,3291.6666666666665
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,2.0,68.0,1489.0,2.0,4566.823371390195
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,55.0,2650.0,4.0,2075.4716981132074
Super built-up  Area,Ready To Move,Kaggalipura,1.0,0.0,38.0,1390.0,2.0,2733.8129496402876
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,65.0,1475.0,2.0,4406.779661016949
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,39.0,1282.0,2.0,3042.121684867395
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,58.0,1398.0,2.0,4148.783977110157
Super built-up  Area,Ready To Move,Kaggalipura,1.0,0.0,36.0,1005.0,2.0,3582.089552238806
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,48.0,1200.0,2.0,4000.0
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,60.0,3800.0,2.0,1578.9473684210527
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,50.0,1200.0,3.0,4166.666666666667
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,62.0,3990.0,4.0,1553.8847117794487
Super built-up  Area,Ready To Move,Kaggalipura,1.0,0.0,35.0,4000.0,10.0,875.0
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,45.0,1416.0,2.0,3177.9661016949153
Super built-up  Area,Ready To Move,Kaggalipura,2.0,1.0,60.0,1500.0,4.0,4000.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2.0,2.0,80.0,1360.0,2.0,5882.35294117647
Super built-up  Area,Ready To Move,Kaikondrahalli,2.0,2.0,50.0,1482.0,2.0,3373.8191632928474
Super built-up  Area,Ready To Move,Kaikondrahalli,3.0,3.0,92.0,1235.0,2.0,7449.392712550607
Super built-up  Area,19-Nov,Kaikondrahalli,2.0,1.0,25.4,1200.0,1.0,2116.6666666666665
Super built-up  Area,Ready To Move,Kaikondrahalli,3.0,3.0,105.0,1987.0,4.0,5284.348263714142
Super built-up  Area,Ready To Move,Kaikondrahalli,2.0,2.0,81.5,1320.0,3.0,6174.242424242424
Super built-up  Area,Ready To Move,Kaikondrahalli,2.0,0.0,64.0,1009.0,1.0,6342.913776015857
Super built-up  Area,18-Dec,Kaikondrahalli,2.0,1.0,27.0,1140.0,3.0,2368.4210526315787
Super built-up  Area,Ready To Move,Kaikondrahalli,2.0,1.0,78.0,1500.0,2.0,5200.0
Built-up  Area,Ready To Move,Kalena Agrahara,2.0,1.0,40.0,1015.0,2.0,3940.886699507389
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,1.0,70.0,1100.0,2.0,6363.636363636364
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,2.0,76.0,1350.0,3.0,5629.62962962963
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,2.0,100.0,1893.0,3.0,5282.620179609086
Super built-up  Area,Ready To Move,Kalena Agrahara,1.0,1.0,39.0,1220.0,2.0,3196.72131147541
Super built-up  Area,Ready To Move,Kalena Agrahara,3.0,3.0,100.0,3000.0,2.0,3333.3333333333335
Super built-up  Area,Ready To Move,Kalena Agrahara,3.0,2.0,89.0,1141.0,2.0,7800.175284837862
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,2.0,35.0,1322.0,2.0,2647.50378214826
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,1.0,40.0,907.0,2.0,4410.143329658214
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,3.0,48.0,1431.0,1.0,3354.2976939203354
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,2.0,95.0,1600.0,3.0,5937.5
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,2.0,85.0,1200.0,3.0,7083.333333333333
Built-up  Area,Ready To Move,Kalena Agrahara,3.0,2.0,78.0,1965.0,2.0,3969.4656488549617
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,2.0,70.0,1284.0,1.0,5451.71339563863
Super built-up  Area,Ready To Move,Kalena Agrahara,3.0,2.0,70.0,1430.0,3.0,4895.104895104895
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,2.0,71.0,1075.0,3.0,6604.6511627906975
Built-up  Area,Ready To Move,Kalkere,2.0,2.0,48.0,1495.0,1.0,3210.7023411371238
Super built-up  Area,17-Aug,Kalkere,2.0,2.0,51.0,1322.0,3.0,3857.7912254160365
Super built-up  Area,Ready To Move,Kalkere,2.0,3.0,42.0,1140.0,2.0,3684.2105263157896
Super built-up  Area,Ready To Move,Kalkere,2.0,2.0,35.0,1350.0,1.0,2592.5925925925926
Super built-up  Area,Ready To Move,Kallumantapa,2.0,2.0,50.0,1333.0,3.0,3750.9377344336085
Super built-up  Area,Ready To Move,Kallumantapa,2.0,3.0,65.0,1460.0,4.0,4452.054794520548
Super built-up  Area,Ready To Move,Kalyan nagar,3.0,2.0,150.0,1288.0,2.0,11645.962732919255
Super built-up  Area,Ready To Move,Kalyan nagar,2.0,1.0,48.0,1269.0,2.0,3782.5059101654847
Super built-up  Area,Ready To Move,Kalyan nagar,2.0,1.0,65.0,934.0,2.0,6959.314775160599
Built-up  Area,Ready To Move,Kalyan nagar,2.0,2.0,65.0,1310.0,2.0,4961.832061068702
Built-up  Area,Ready To Move,Kalyan nagar,2.0,1.0,60.0,1100.0,2.0,5454.545454545455
Super built-up  Area,Ready To Move,Kalyan nagar,4.0,1.0,165.0,1200.0,3.0,13750.0
Built-up  Area,Ready To Move,Kalyan nagar,2.0,1.0,70.0,700.0,2.0,10000.0
Plot  Area,Ready To Move,Kamakshipalya,2.0,1.0,60.0,5080.0,2.0,1181.1023622047244
Built-up  Area,18-May,Kamakshipalya,2.0,1.0,75.0,1625.0,4.0,4615.384615384615
Built-up  Area,Ready To Move,Kamakshipalya,2.0,0.0,60.0,2400.0,2.0,2500.0
Super built-up  Area,Ready To Move,Kamakshipalya,2.0,2.0,52.0,3600.0,2.0,1444.4444444444443
Plot  Area,Ready To Move,Kamakshipalya,1.0,0.0,30.0,2439.0,3.0,1230.0123001230013
Built-up  Area,Ready To Move,Kamala Nagar,2.0,1.0,80.0,1600.0,3.0,5000.0
Super built-up  Area,Ready To Move,Kamala Nagar,2.0,0.0,43.0,1680.0,3.0,2559.5238095238096
Super built-up  Area,Ready To Move,Kamala Nagar,1.0,1.0,33.0,2400.0,3.0,1375.0
Super built-up  Area,Ready To Move,Kambipura,2.0,1.0,39.0,1062.0,2.0,3672.316384180791
Super built-up  Area,Ready To Move,Kambipura,2.0,1.0,55.0,1880.0,2.0,2925.531914893617
Super built-up  Area,Ready To Move,Kambipura,2.0,1.0,45.0,1925.0,2.0,2337.6623376623374
Super built-up  Area,Ready To Move,Kambipura,2.0,1.0,37.0,1050.0,2.0,3523.809523809524
Super built-up  Area,Ready To Move,Kambipura,2.0,1.0,44.0,1060.0,2.0,4150.943396226415
Built-up  Area,Ready To Move,Kambipura,2.0,1.0,39.0,1340.0,1.0,2910.4477611940297
Super built-up  Area,Ready To Move,Kambipura,2.0,1.0,37.01,1346.0,1.0,2749.6285289747398
Super built-up  Area,Ready To Move,Kambipura,2.0,1.0,39.0,1300.0,2.0,3000.0
Super built-up  Area,Ready To Move,Kambipura,2.0,1.0,49.0,1500.0,2.0,3266.6666666666665
Built-up  Area,Ready To Move,Kambipura,2.0,1.0,39.0,1830.0,4.0,2131.1475409836066
Super built-up  Area,Ready To Move,Kambipura,2.0,1.0,49.0,1362.0,2.0,3597.650513950073
Super built-up  Area,Ready To Move,Kammagondahalli,2.0,1.0,51.5,1195.0,3.0,4309.623430962343
Super built-up  Area,17-Mar,Kammagondahalli,2.0,2.0,55.0,1460.0,2.0,3767.123287671233
Built-up  Area,Ready To Move,Kammanahalli,3.0,1.0,60.0,1125.0,3.0,5333.333333333333
Built-up  Area,Ready To Move,Kammanahalli,1.0,0.0,59.0,1452.0,3.0,4063.3608815426996
